label x	y	value
a 455.50443563609 1585.092015855 0.61447793821212
b 445.65194412986 1453.7254624387 0.78649055554107
c 488.34607399018 1309.2222536806 0.79443207007973
d 508.05105700264 1204.1290109475 0.48926634642495
e 534.32436768592 1095.751604379 0.5478873122673
f 728.09003397508 1013.6475084938 0.34513327493398
g 895.58238958097 990.6583616459 0.38419565271278
h 987.53897697244 1000.5108531521 0.65375824221361
i 1020.3806153265 1069.4782936957 0.41379178420732
j 1059.7905813515 1128.5932427331 0.56362833738837
k 1086.0638920347 1220.5498301246 0.7160128746134
l 1105.7688750472 1286.2331068328 0.61267515098075
m 1112.337202718 1368.337202718 0.27769129913451
n 1109.0530388826 1407.7471687429 0.49756945229596
o 1053.2222536806 1463.5779539449 0.63729644984057
p 1023.6647791619 1552.2503775009 0.54209752838271
q 1013.8122876557 1719.7427331068 0.65721469243305
r 964.54983012458 1703.3219139298 0.41430983841999
s 912.00320875802 1624.50198188 0.31173022205594
t 843.03576821442 1545.6820498301 0.59694767959559
u 820.04662136655 1529.2612306531 0.60352888209147
v 767.5 1509.5562476406 0.27672842137988
w 688.68006795017 1486.5671007928 0.46990707060199
x 659.12259343148 1483.2829369573 0.6287212057473
y 606.57597206493 1522.6929029823 0.75933203058498
z 544.17685919215 1562.1028690072 0.6047262674039
aa 501.48272933182 1575.2395243488 0.29225688829827
