"scalar1of1Gradient:0","scalar1of1Gradient:1","scalar1of1","Result:0","Result:1","Result:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.00184495924525934,-0.00179057793582928,1303.60206274298,-0.00184495924525934,-0.00179057793582928,0,0,0,0,1.97641765574589e-005,0,0,0,0,-1,6205,59027.59375,67350,-2.27107436047251e-013
-0.00213014840941905,-0.00161692324709366,1303.60497721698,-0.00213014840941905,-0.00161692324709366,0,721.505217083699,0,0,-3.99119340042741e-006,0,-0,-0,0,-1,6206,59026.53125,67349,-2.27107436047251e-013
-0.00232625827741433,-0.00152921206433036,1303.60704250791,-0.00232625827741433,-0.00152921206433036,0,1471.48755485436,0,0,-1.27364630007162e-006,0,-0,0,0,-1,6207,59025.75,67348.5,-2.27107436047251e-013
-0.00250580281161257,-0.00146696683871703,1303.60897330295,-0.00250580281161257,-0.00146696683871703,0,2182.16863839851,0,0,9.48750580259734e-007,0,0,-0,0,-1,6208,59025.03125,67348,-2.27107436047251e-013
-0.00271169664016557,-0.00140672715609546,1303.611841675,-0.00271169664016557,-0.00140672715609546,0,2457.32562467233,0,0,-1.07244156620038e-005,0,-0,-0,0,-1,6209,59024.25,67347.5,-2.27107436047251e-013
-0.00290035832685652,-0.00136518745066741,1303.61452934809,-0.00290035832685652,-0.00136518745066741,0,3089.90486541221,0,0,-6.15107288423394e-006,0,-0,0,0,-1,6210,59023.53125,67347.5,-2.27107436047251e-013
-0.00335557507165214,-0.00130861776767729,1303.62116129599,-0.00335557507165214,-0.00130861776767729,0,569.34073038727,0,0,4.15916499825848e-006,0,0,-0,0,-1,6211,59021.78125,67346.5,-2.27107436047251e-013
-0.00358682680226953,-0.0012989805989668,1303.62460439116,-0.00358682680226953,-0.0012989805989668,0,4461.62400324899,0,0,9.10837893218519e-006,0,0,-0,0,-1,6212,59020.84375,67346,-2.27107436047251e-013
-0.00379005940708803,-0.00129921670025672,1303.62766947809,-0.00379005940708803,-0.00129921670025672,0,5176.75578596142,0,0,1.33423528282065e-005,0,0,0,0,-1,6213,59020.03125,67346,-2.27107436047251e-013
-0.0043858779243534,-0.00131416116250012,1303.6404566124,-0.0043858779243534,-0.00131416116250012,0,5909.37099559487,0,0,2.01073374579987e-005,0,0,-0,0,-1,6214,59017.40625,67345,-2.27107436047251e-013
-0.00454571861894371,-0.00133208804379357,1303.6438241726,-0.00454571861894371,-0.00133208804379357,0,6066.22895913731,0,0,-8.0199994223699e-006,0,-0,0,0,-1,6215,59016.71875,67345,-2.27107436047251e-013
-0.00527600579086818,-0.00141572271826422,1303.66163529064,-0.00527600579086818,-0.00141572271826422,0,6812.61374235705,0,0,-1.76088828139341e-005,0,-0,0,0,-1,6216,59013.3125,67344,-2.27107436047251e-013
-0.00593475614438854,-0.00149813458118091,1303.68155214215,-0.00593475614438854,-0.00149813458118091,0,7459.83370041519,0,0,-2.27769360786728e-005,0,-0,-0,0,-1,6217,59009.90625,67343,-2.27107436047251e-013
-0.00649561917541552,-0.00154089992979747,1303.70470242698,-0.00649561917541552,-0.00154089992979747,0,8037.4479016568,0,0,3.5891552351098e-006,0,0,-0,0,-1,6218,59006.46875,67342,-2.27107436047251e-013
